in s,C1 in V,C2 in V
-8.6016E-06,1.387813E+00,3.30270E+00
-8.5920E-06,1.395343E+00,3.29049E+00
-8.5824E-06,1.393878E+00,3.28805E+00
-8.5728E-06,1.379176E+00,3.30025E+00
-8.5632E-06,1.382556E+00,3.29781E+00
-8.5536E-06,1.383289E+00,3.29369E+00
-8.5440E-06,1.367488E+00,3.29049E+00
-8.5344E-06,1.369441E+00,3.28805E+00
-8.5248E-06,1.350749E+00,3.28637E+00
-8.5152E-06,1.348300E+00,3.30102E+00
-8.5056E-06,1.339503E+00,3.29446E+00
-8.4960E-06,1.323985E+00,3.30346E+00
-8.4864E-06,1.321094E+00,3.28881E+00
-8.4768E-06,1.318690E+00,3.30346E+00
-8.4672E-06,1.291156E+00,3.28881E+00
-8.4576E-06,1.300243E+00,3.28072E+00
-8.4480E-06,1.290019E+00,3.29049E+00
-8.4384E-06,1.288592E+00,3.31078E+00
-8.4288E-06,1.279185E+00,3.28225E+00
-8.4192E-06,1.273235E+00,3.28881E+00
-8.4096E-06,1.272708E+00,3.28805E+00
-8.4000E-06,1.263950E+00,3.29537E+00
-8.3904E-06,1.264156E+00,3.29369E+00
-8.3808E-06,1.247981E+00,3.29781E+00
-8.3712E-06,1.251933E+00,3.30514E+00
-8.3616E-06,1.256091E+00,3.29201E+00
-8.3520E-06,1.239757E+00,3.28469E+00
-8.3424E-06,1.244723E+00,3.29446E+00
-8.3328E-06,1.229495E+00,3.29125E+00
-8.3232E-06,1.250995E+00,3.30422E+00
-8.3136E-06,1.243381E+00,3.28225E+00
-8.3040E-06,1.230838E+00,3.29613E+00
-8.2944E-06,1.239917E+00,3.28469E+00
-8.2848E-06,1.253848E+00,3.29690E+00
-8.2752E-06,1.219592E+00,3.28881E+00
-8.2656E-06,1.242000E+00,3.28881E+00
-8.2560E-06,1.247699E+00,3.29369E+00
-8.2464E-06,1.233203E+00,3.29049E+00
-8.2368E-06,1.254138E+00,3.27828E+00
-8.2272E-06,1.242244E+00,3.30270E+00
-8.2176E-06,1.244601E+00,3.28149E+00
-8.2080E-06,1.256786E+00,3.30270E+00
-8.1984E-06,1.254176E+00,3.30025E+00
-8.1888E-06,1.256908E+00,3.28957E+00
-8.1792E-06,1.258495E+00,3.29690E+00
-8.1696E-06,1.271648E+00,3.30422E+00
-8.1600E-06,1.281787E+00,3.28637E+00
-8.1504E-06,1.279185E+00,3.30834E+00
-8.1408E-06,1.289607E+00,3.29049E+00
-8.1312E-06,1.295436E+00,3.30102E+00
-8.1216E-06,1.302684E+00,3.29537E+00
-8.1120E-06,1.307246E+00,3.29858E+00
-8.1024E-06,1.312175E+00,3.29613E+00
-8.0928E-06,1.312015E+00,3.30102E+00
-8.0832E-06,1.333804E+00,3.29446E+00
-8.0736E-06,1.326427E+00,3.30346E+00
-8.0640E-06,1.344348E+00,3.28637E+00
-8.0544E-06,1.346385E+00,3.29201E+00
-8.0448E-06,1.353275E+00,3.30346E+00
-8.0352E-06,1.378154E+00,3.28957E+00
-8.0256E-06,1.354205E+00,3.28957E+00
-8.0160E-06,1.386462E+00,3.29613E+00
-8.0064E-06,1.395793E+00,3.29858E+00
-7.9968E-06,1.382434E+00,3.30682E+00
-7.9872E-06,1.402515E+00,3.29537E+00
-7.9776E-06,1.396564E+00,3.30514E+00
-7.9680E-06,1.386874E+00,3.30346E+00
-7.9584E-06,1.410701E+00,3.29049E+00
-7.9488E-06,1.396442E+00,3.29446E+00
-7.9392E-06,1.397670E+00,3.30590E+00
-7.9296E-06,1.398402E+00,3.29934E+00
-7.9200E-06,1.388057E+00,3.30758E+00
-7.9104E-06,1.395549E+00,3.29049E+00
-7.9008E-06,1.375713E+00,3.30025E+00
-7.8912E-06,1.377299E+00,3.29690E+00
-7.8816E-06,1.366267E+00,3.29690E+00
-7.8720E-06,1.347690E+00,3.29446E+00
-7.8624E-06,1.342311E+00,3.28881E+00
-7.8528E-06,1.336124E+00,3.29369E+00
-7.8432E-06,1.327327E+00,3.31322E+00
-7.8336E-06,1.311603E+00,3.29858E+00
-7.8240E-06,1.317958E+00,3.30590E+00
-7.8144E-06,1.291690E+00,3.29446E+00
-7.8048E-06,1.285907E+00,3.30590E+00
-7.7952E-06,1.282237E+00,3.28637E+00
-7.7856E-06,1.270343E+00,3.30758E+00
-7.7760E-06,1.257312E+00,3.29369E+00
-7.7664E-06,1.261630E+00,3.30514E+00
-7.7568E-06,1.254138E+00,3.29690E+00
-7.7472E-06,1.238414E+00,3.29537E+00
-7.7376E-06,1.244037E+00,3.28393E+00
-7.7280E-06,1.233363E+00,3.30422E+00
-7.7184E-06,1.232425E+00,3.29613E+00
-7.7088E-06,1.236949E+00,3.29049E+00
-7.6992E-06,1.232753E+00,3.29690E+00
-7.6896E-06,1.244685E+00,3.29201E+00
-7.6800E-06,1.251895E+00,3.29537E+00
-7.6704E-06,1.255679E+00,3.28805E+00
-7.6608E-06,1.262279E+00,3.29446E+00
-7.6512E-06,1.269283E+00,3.29537E+00
-7.6416E-06,1.280528E+00,3.29537E+00
-7.6320E-06,1.299098E+00,3.29049E+00
-7.6224E-06,1.295268E+00,3.28561E+00
-7.6128E-06,1.312823E+00,3.30178E+00
-7.6032E-06,1.336162E+00,3.29934E+00
-7.5936E-06,1.335597E+00,3.29934E+00
-7.5840E-06,1.363170E+00,3.28881E+00
-7.5744E-06,1.347118E+00,3.28637E+00
-7.5648E-06,1.368625E+00,3.29446E+00
-7.5552E-06,1.378398E+00,3.28393E+00
-7.5456E-06,1.371684E+00,3.29690E+00
-7.5360E-06,1.386508E+00,3.28637E+00
-7.5264E-06,1.395099E+00,3.29858E+00
-7.5168E-06,1.384593E+00,3.30270E+00
-7.5072E-06,1.389156E+00,3.29613E+00
-7.4976E-06,1.385204E+00,3.29201E+00
-7.4880E-06,1.389598E+00,3.29858E+00
-7.4784E-06,1.385936E+00,3.28637E+00
-7.4688E-06,1.379054E+00,3.29293E+00
-7.4592E-06,1.387523E+00,3.29446E+00
-7.4496E-06,1.377383E+00,3.30270E+00
-7.4400E-06,1.379947E+00,3.28713E+00
-7.4304E-06,1.361705E+00,3.29537E+00
-7.4208E-06,1.355388E+00,3.29781E+00
-7.4112E-06,1.356120E+00,3.29049E+00
-7.4016E-06,1.334819E+00,3.30270E+00
-7.3920E-06,1.329570E+00,3.28713E+00
-7.3824E-06,1.309528E+00,3.29537E+00
-7.3728E-06,1.309322E+00,3.29369E+00
-7.3632E-06,1.297916E+00,3.29293E+00
-7.3536E-06,1.282725E+00,3.28805E+00
-7.3440E-06,1.271732E+00,3.28713E+00
-7.3344E-06,1.251041E+00,3.30102E+00
-7.3248E-06,1.266147E+00,3.30178E+00
-7.3152E-06,1.239146E+00,3.29613E+00
-7.3056E-06,1.233646E+00,3.29369E+00
-7.2960E-06,1.233524E+00,3.28957E+00
-7.2864E-06,1.237353E+00,3.30590E+00
-7.2768E-06,1.225337E+00,3.28561E+00
-7.2672E-06,1.234378E+00,3.29049E+00
-7.2576E-06,1.229495E+00,3.29293E+00
-7.2480E-06,1.224643E+00,3.29613E+00
-7.2384E-06,1.238574E+00,3.27904E+00
-7.2288E-06,1.228641E+00,3.29369E+00
-7.2192E-06,1.234462E+00,3.28637E+00
-7.2096E-06,1.249698E+00,3.29934E+00
-7.2000E-06,1.247783E+00,3.28469E+00
-7.1904E-06,1.257838E+00,3.30270E+00
-7.1808E-06,1.258411E+00,3.29613E+00
-7.1712E-06,1.268428E+00,3.29537E+00
-7.1616E-06,1.282893E+00,3.29446E+00
-7.1520E-06,1.274905E+00,3.29781E+00
-7.1424E-06,1.290546E+00,3.29369E+00
-7.1328E-06,1.314861E+00,3.29369E+00
-7.1232E-06,1.293971E+00,3.29125E+00
-7.1136E-06,1.315639E+00,3.31078E+00
-7.1040E-06,1.333514E+00,3.28713E+00
-7.0944E-06,1.324680E+00,3.29613E+00
-7.0848E-06,1.362231E+00,3.28561E+00
-7.0752E-06,1.344432E+00,3.30682E+00
-7.0656E-06,1.366512E+00,3.29125E+00
-7.0560E-06,1.376979E+00,3.29369E+00
-7.0464E-06,1.380275E+00,3.29537E+00
-7.0368E-06,1.397098E+00,3.29537E+00
-7.0272E-06,1.391597E+00,3.29369E+00
-7.0176E-06,1.394244E+00,3.29125E+00
-7.0080E-06,1.406543E+00,3.28561E+00
-6.9984E-06,1.398402E+00,3.31078E+00
-6.9888E-06,1.397990E+00,3.29049E+00
-6.9792E-06,1.388179E+00,3.29201E+00
-6.9696E-06,1.383372E+00,3.29934E+00
-6.9600E-06,1.395305E+00,3.29125E+00
-6.9504E-06,1.372127E+00,3.29293E+00
-6.9408E-06,1.369479E+00,3.29446E+00
-6.9312E-06,1.364551E+00,3.28805E+00
-6.9216E-06,1.348056E+00,3.29781E+00
-6.9120E-06,1.342517E+00,3.30270E+00
-6.9024E-06,1.337390E+00,3.29369E+00
-6.8928E-06,1.329280E+00,3.29934E+00
-6.8832E-06,1.319995E+00,3.29934E+00
-6.8736E-06,1.327777E+00,3.29293E+00
-6.8640E-06,1.307895E+00,3.28225E+00
-6.8544E-06,1.295352E+00,3.29858E+00
-6.8448E-06,1.298488E+00,3.29858E+00
-6.8352E-06,1.277026E+00,3.29446E+00
-6.8256E-06,1.284801E+00,3.29049E+00
-6.8160E-06,1.259837E+00,3.29858E+00
-6.8064E-06,1.262447E+00,3.30422E+00
-6.7968E-06,1.250064E+00,3.29858E+00
-6.7872E-06,1.249736E+00,3.29446E+00
-6.7776E-06,1.228885E+00,3.27981E+00
-6.7680E-06,1.254016E+00,3.29125E+00
